progress,days_left,team_size,budget_used,task_complexity,risk
50,10,3,41,0,0
4,10,3,91,0,1
50,10,3,89,1,1
4,10,3,21,2,1
100,10,8,37,2,0
18,4,7,35,1,2
81,21,7,81,2,0
34,10,3,49,1,1
48,10,3,77,1,1
8,10,8,68,2,1
48,10,3,81,1,1
50,24,10,71,1,0
72,1,3,45,1,2
50,10,3,95,0,2
50,25,3,35,0,0
50,10,3,22,1,1
50,22,3,65,1,1
50,10,3,49,1,1
63,10,2,100,2,2
50,25,5,67,2,0
50,22,3,77,2,1
50,10,3,79,1,1
13,10,5,93,0,2
50,22,1,80,2,2
2,4,3,71,0,2
1,10,2,21,2,2
50,10,3,30,0,0
50,10,3,97,1,1
50,21,5,78,2,2
88,10,3,30,2,1
50,10,9,77,1,0
50,10,3,97,0,1
8,20,3,54,0,2
50,-4,3,37,2,2
51,10,2,55,0,0
50,-3,5,80,2,2
50,10,3,30,0,0
50,17,2,42,0,0
92,10,3,30,2,1
50,18,1,67,2,1
50,9,10,100,0,1
50,10,1,38,0,0
50,23,9,68,1,0
50,10,3,52,1,1
50,10,5,77,2,1
50,10,7,64,0,0
50,10,2,34,1,1
91,10,9,59,2,1
8,10,3,40,0,1
20,10,9,21,0,0
50,20,3,69,0,0
31,4,3,95,0,1
93,10,5,59,1,0
50,3,3,45,1,1
50,8,1,62,0,1
24,10,3,74,2,1
6,10,3,80,1,1
14,2,3,38,1,2
93,10,9,44,1,0
50,10,9,95,0,0
50,14,7,72,2,1
50,10,3,80,2,1
42,15,3,43,1,1
67,23,2,38,2,1
50,10,1,33,1,1
45,0,9,25,2,1
50,10,4,42,0,0
70,5,3,41,1,1
8,11,1,83,1,1
50,10,6,96,2,1
50,16,3,62,2,1
50,10,3,34,1,1
66,21,6,32,0,0
83,10,3,76,2,1
50,15,7,80,2,1
50,10,3,31,1,1
48,10,10,37,1,0
1,10,5,94,1,1
50,10,8,30,1,0
14,10,4,72,0,0
50,5,3,72,1,1
71,6,3,60,2,1
50,11,5,60,0,0
13,10,3,34,1,1
64,-2,3,22,1,2
50,10,3,46,0,0
50,10,3,55,0,0
50,10,3,68,1,1
50,10,1,54,1,1
37,10,3,33,1,1
30,30,3,55,1,1
38,5,6,66,0,0
50,21,3,65,0,0
45,21,8,42,0,0
50,22,3,93,2,1
50,23,3,67,2,1
94,19,3,74,2,1
40,-3,3,23,0,2
50,27,3,46,0,0
50,-2,3,98,0,2
50,10,10,59,1,0
68,1,6,47,2,1
3,16,3,74,0,1
50,23,3,89,0,1
92,10,3,67,1,0
77,26,3,36,0,0
6,10,3,52,1,1
23,10,1,79,0,1
13,0,3,34,2,2
50,10,3,47,1,1
34,10,3,76,1,1
50,19,4,85,2,1
64,10,3,79,0,0
50,30,5,58,1,0
19,10,3,46,1,1
48,-3,3,75,2,2
57,10,4,88,0,0
25,10,8,82,0,0
50,-4,3,65,2,2
50,10,3,33,1,1
57,-3,3,75,1,2
50,13,6,47,2,0
20,23,3,90,1,1
50,20,3,51,0,0
57,-1,3,91,1,2
9,10,3,63,0,1
42,10,3,74,2,1
69,10,3,31,1,0
24,10,3,91,0,1
93,20,3,53,1,0
98,20,9,27,1,0
14,22,3,55,0,1
90,25,3,44,2,1
61,10,9,46,2,0
50,10,4,63,2,0
50,22,3,42,0,1
50,18,3,67,0,0
50,10,3,61,1,1
50,10,3,63,1,1
50,7,7,51,1,0
69,10,6,23,1,0
50,10,3,30,1,1
50,-2,2,58,2,2
50,10,6,36,1,0
50,10,3,33,1,1
56,10,3,46,0,0
50,10,4,96,0,1
25,10,5,25,1,0
50,10,1,39,1,1
50,10,3,56,2,1
50,10,3,31,2,1
25,10,6,29,0,0
50,10,10,93,2,1
47,-3,7,42,2,2
21,16,8,43,0,0
50,10,6,63,2,0
63,10,3,38,2,1
50,0,10,76,0,1
82,10,8,36,1,0
23,21,10,62,2,1
50,10,3,34,0,0
50,10,3,95,0,1
50,14,3,82,1,1
50,10,3,59,1,1
92,18,3,90,1,1
71,20,3,83,2,1
81,7,3,65,1,1
50,10,3,32,0,0
95,17,3,94,0,1
31,10,9,92,1,1
50,10,3,81,1,1
50,30,8,89,2,1
50,2,3,62,2,1
18,-4,3,84,1,2
50,10,8,58,0,0
71,3,3,53,1,1
53,18,1,76,1,1
50,10,10,74,1,0
33,28,3,24,1,1
11,8,2,22,0,1
84,4,3,59,2,1
50,2,3,50,0,1
50,13,10,40,0,0
65,10,3,69,2,1
50,7,3,93,0,1
61,1,3,65,1,1
50,4,3,87,1,2
50,10,3,47,1,1
50,10,3,90,0,1
50,10,3,39,0,0
58,18,1,96,1,1
65,10,4,32,0,0
23,10,5,42,0,0
50,10,9,38,1,0
2,12,8,56,1,0
50,10,9,98,1,1
100,10,7,72,1,0
74,10,4,64,0,0
10,-2,3,88,2,2
50,2,4,76,2,1
62,16,3,73,1,1
50,19,3,68,1,1
50,10,3,61,1,1
50,20,4,65,0,0
12,10,4,39,2,1
50,13,6,74,1,0
50,10,3,55,2,1
40,10,3,92,0,1
50,10,3,21,0,0
71,10,3,100,0,1
50,10,3,59,1,1
50,28,9,70,2,0
18,5,3,91,1,2
94,10,5,49,0,0
50,10,3,26,1,1
94,19,3,100,0,1
50,17,4,59,0,0
50,10,4,66,0,1
50,10,3,71,1,1
50,10,3,31,2,1
78,10,4,28,1,0
47,22,2,49,1,1
50,22,10,75,0,0
50,10,3,73,1,1
50,18,4,35,0,0
50,10,2,78,0,1
50,16,6,97,1,1
70,10,3,96,0,1
8,10,3,91,0,1
50,10,9,78,0,0
1,-2,3,21,1,2
50,10,10,39,1,1
14,10,5,65,0,0
50,10,9,40,0,0
50,1,3,84,2,2
12,2,7,70,0,1
50,2,3,73,1,1
50,6,6,99,1,1
10,24,7,87,2,2
12,10,1,79,0,1
50,10,3,99,1,1
68,10,3,63,2,1
64,10,3,47,2,2
64,10,6,39,2,0
5,10,3,67,0,1
50,13,3,71,2,1
66,10,7,92,0,0
83,23,6,76,1,0
77,10,3,26,1,0
50,8,6,63,0,0
19,23,3,46,0,1
0,27,10,86,2,1
41,10,6,66,0,0
50,27,3,88,0,1
7,9,3,50,2,1
13,10,5,70,1,0
50,10,3,96,1,1
1,14,3,80,2,1
50,28,9,85,0,0
50,10,3,89,0,1
50,1,3,92,2,2
50,10,7,81,1,0
50,-3,3,49,0,2
64,24,3,55,2,1
65,10,2,40,1,0
50,10,3,29,1,1
50,10,3,93,2,1
93,-3,2,22,0,1
99,17,4,34,0,0
50,10,8,45,2,0
50,19,3,75,2,1
27,10,3,100,2,2
30,-2,10,93,1,2
50,17,3,55,2,1
50,10,3,89,1,1
50,10,3,77,1,1
50,5,1,84,1,1
17,10,8,69,2,1
50,15,3,74,0,1
50,10,3,31,1,1
23,10,3,32,1,1
50,-4,3,41,2,2
50,28,3,73,0,1
50,10,6,77,0,0
60,10,5,76,2,0
50,-3,3,63,0,2
44,10,3,96,2,1
18,-3,7,21,2,2
50,10,3,56,1,1
50,9,3,36,1,1
50,21,3,56,1,1
50,22,9,34,0,0
50,14,3,42,0,0
49,10,9,40,2,0
50,10,3,44,2,2
10,10,4,98,1,1
50,5,10,22,2,1
0,10,3,35,2,1
40,10,5,50,2,0
50,10,5,71,1,0
92,6,1,36,2,1
50,-4,6,79,0,1
14,-4,5,78,0,2
21,10,3,73,0,1
29,10,4,63,2,1
50,10,3,26,2,1
50,10,2,91,1,1
50,10,3,22,1,1
87,10,7,25,1,0
50,19,3,96,1,1
81,10,3,83,2,1
50,10,3,87,0,1
27,10,7,32,0,0
50,10,3,48,0,0
50,10,9,82,0,0
54,5,1,79,2,2
2,20,9,24,2,1
4,10,3,58,1,1
50,24,7,28,2,0
83,5,8,73,1,0
50,2,1,69,2,2
87,28,3,46,0,0
95,10,1,72,2,1
50,30,10,82,1,0
84,10,3,62,2,1
6,7,3,52,2,1
75,4,6,32,1,0
50,10,6,86,2,1
6,1,1,23,0,2
50,10,3,98,0,1
